"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"Create and load all data","Jim Barrows","database_change_log.yml","2024-11-27T17:10:12.311","1","EXECUTED","9:f9c871f2f55098d15d3620acda0ea721","sqlFile path=./sql/01-install-extensions.sql; sqlFile path=./sql/02-create-database.sql; sqlFile path=./sql/03-initial-data.sql","","","4.28.0","()","","2749012233"
"Change Facility.part_of to part_of_id","Jim Barrows","database_change_log.yml","2024-11-27T17:10:12.316","2","EXECUTED","9:5b4f9d9802b04bab3d693ffbecda3cc6","renameColumn newColumnName=part_of_id, oldColumnName=part_of, tableName=facility","","","4.28.0","()","","2749012233"
"Add fromDate and thruDate need to be part of FacilityRole","Jim Barrows","database_change_log.yml","2024-11-27T17:10:12.331","3","EXECUTED","9:45b21dd532bea3a5b2c0b9bdfad8f16f","addColumn tableName=facility_role; addColumn tableName=facility_role","","","4.28.0","()","","2749012233"
"Milestone 1.1","Jim Barrows","database_change_log.yml","2024-11-27T17:10:12.336","4","EXECUTED","9:c6feb00cea7ae4432b02516f71665517","addColumn tableName=facility_contact_mechanism; addColumn tableName=facility_contact_mechanism",,"","4.28.0","()","","2749012233"
